participantId,trialCount,triageScore,hardTriggered,triageReason,totalPasteEvents,totalCopyEvents,totalDropEvents,totalTabAways,tabAwayLongCount,tabAwayMediumCount,tabAwayFlickerCount,totalTabAwayDuration_ms,trialsWithTabAway,meanTypingSpeed,trialsWithFastTyping,meanMouseEvents,meanPathEfficiency,totalIdleGaps,totalSyntheticInsertions,totalForeignInputEvents,totalSoftScore,edgeExitCount,sidebar_event_count,ai_extensions,keyboard_shortcut_count,layout_shift_count,zoom_change_count,dev_tools_event_count,authoritative_soft_score
583ef6f5ad2f4300014b358d,15,12,no,3 flickers <3s; 3 synthetic insertions,0,0,0,3,0,0,3,3938,3,2.74,0,263.3,0.000,1671,3,0,0,0,0,,0,0,0,0,0
5c309bb410677f0001dda0ed,15,21,no,1 tab-away ≥10s; 3 flickers <3s; 5 synthetic insertions,0,0,0,4,1,0,3,77085,4,3.87,0,63.3,0.000,729,5,0,1,0,0,,0,0,0,0,1
5c5198da659655000168955d,15,0,no,1 tab-away 3–10s,0,0,0,1,0,1,0,3252,1,3.16,0,52.9,0.000,331,0,0,0,0,0,,0,0,0,0,0
5d350282cec7150015d16494,15,131,YES,5 paste events; 10 copy events; 22 tab-aways ≥10s; 5 tab-aways 3–10s; 15 flickers <3s,5,10,0,42,22,5,15,1537193,13,0.82,0,618.5,0.000,1465,0,0,31,0,0,,0,0,0,0,31
5d453e8723a5bb0001492546,15,0,no,clean,0,0,0,0,0,0,0,0,0,2.40,0,216.3,0.000,1330,0,0,0,0,0,,0,0,0,0,0
5d5a48a67ca41f0001e97f8b,15,7,no,1 tab-away ≥10s; 2 tab-aways 3–10s; fast typing on 1 trials; 1 synthetic insertions,0,0,0,3,1,2,0,41912,3,5.31,1,45.8,0.000,1136,1,0,3,0,0,,0,0,0,0,3
5e836a3c2598d409928dae31,15,0,no,clean,0,0,0,0,0,0,0,0,0,3.69,0,370.3,0.000,857,0,0,0,0,0,,0,0,0,0,0
607668ac450fc6e3025a131d,15,10,no,11 tab-aways ≥10s; 1 tab-away 3–10s; 1 flicker <3s,0,0,0,13,11,1,1,536582,9,2.69,0,129.7,0.000,725,0,0,10,0,0,,0,0,0,0,10
6089714497c6a46ebdf12234,15,0,no,clean,0,0,0,0,0,0,0,0,0,4.44,0,117.0,0.000,396,0,0,0,0,0,,0,0,0,0,0
6127c5e5db9bf1a49993c300,15,0,no,clean,0,0,0,0,0,0,0,0,0,1.94,0,9.0,0.000,553,0,0,0,0,0,,0,0,0,0,0
616c1cc2510fe9022f6577f8,15,0,no,clean,0,0,0,0,0,0,0,0,0,5.05,0,70.9,0.000,294,0,0,0,0,0,,0,0,0,0,0
